   6 Actinobacteria	Acidimicrobiia
 987 Actinobacteria	Actinobacteria
  32 Actinobacteria	Coriobacteriia
   1 Actinobacteria	Nitriliruptoria
   3 Actinobacteria	Rubrobacteria
   8 Actinobacteria	Thermoleophilia
  16 Aquificae	Aquificae
   1 Armatimonadetes	Chthonomonadetes
   1 Armatimonadetes	Fimbriimonadia
   1 Armatimonadetes	unclassified Armatimonadetes
 519 Bacteroidetes/Chlorobi group	Bacteroidetes
  13 Bacteroidetes/Chlorobi group	Chlorobi
   2 Bacteroidetes/Chlorobi group	Ignavibacteriae
   1 Bacteroidetes/Chlorobi group	unclassified Bacteroidetes/Chlorobi group
   1 Caldiserica	Caldisericia
   1 Caldiserica	unclassified Caldiserica
  22 Chlamydiae/Verrucomicrobia group	Chlamydiae
   2 Chlamydiae/Verrucomicrobia group	Lentisphaerae
  40 Chlamydiae/Verrucomicrobia group	Verrucomicrobia
  12 Chloroflexi	Anaerolineae
   1 Chloroflexi	Ardenticatenia
   1 Chloroflexi	Caldilineae
   8 Chloroflexi	Chloroflexia
  12 Chloroflexi	Dehalococcoidia
   2 Chloroflexi	Ktedonobacteria
   4 Chloroflexi	Thermomicrobia
   5 Chloroflexi	unclassified Chloroflexi
   2 Chrysiogenetes	Chrysiogenetes
   2 Cyanobacteria	Gloeobacteria
  25 Cyanobacteria	Nostocales
  63 Cyanobacteria	Oscillatoriophycideae
   5 Cyanobacteria	Pleurocapsales
   4 Cyanobacteria	Prochlorales
   8 Cyanobacteria	Stigonematales
   2 Cyanobacteria	unclassified Cyanobacteria
   6 Deferribacteres	Deferribacteres
  43 Deinococcus-Thermus	Deinococci
   1 Deinococcus-Thermus	unclassified Thermus/Deinococcus group
   2 Dictyoglomi	Dictyoglomia
   1 Elusimicrobia	Elusimicrobia
   1 Elusimicrobia	Endomicrobia
   1 Elusimicrobia	environmental samples
  24 Fibrobacteres/Acidobacteria group	Acidobacteria
   2 Fibrobacteres/Acidobacteria group	Fibrobacteres
  21 Fibrobacteres/Acidobacteria group	Marinimicrobia
 691 Firmicutes	Bacilli
 474 Firmicutes	Clostridia
  33 Firmicutes	Erysipelotrichia
  59 Firmicutes	Negativicutes
  33 Firmicutes	Tissierellia
  45 Firmicutes	environmental samples
  10 Firmicutes	unclassified Firmicutes sensu stricto
  25 Fusobacteria	Fusobacteriia
   6 Gemmatimonadetes	Gemmatimonadetes
   2 Nitrospinae	Nitrospinia
  16 Nitrospirae	Nitrospira
   5 Planctomycetes	Phycisphaerae
  21 Planctomycetes	Planctomycetia
   7 Planctomycetes	unclassified Planctomycetes
 725 Proteobacteria	Alphaproteobacteria
 384 Proteobacteria	Betaproteobacteria
1051 Proteobacteria	Gammaproteobacteria
  11 Proteobacteria	Zetaproteobacteria
 242 Proteobacteria	delta/epsilon subdivisions
   2 Proteobacteria	environmental samples
   8 Proteobacteria	unclassified Proteobacteria
  82 Spirochaetes	Spirochaetia
   1 Spirochaetes	unclassified Spirochaetes
  17 Synergistetes	Synergistia
   1 Synergistetes	unclassified Synergistetes
 141 Tenericutes	Mollicutes
   7 Thermodesulfobacteria	Thermodesulfobacteria
  25 Thermotogae	Thermotogae
   1 Thermotogae	unclassified Thermotogae
   1 environmental samples	uncultured bacterium
   1 unclassified Bacteria	Acetothermia
   5 unclassified Bacteria	Aerophobetes
  38 unclassified Bacteria	Aminicenantes
  17 unclassified Bacteria	Atribacteria
   7 unclassified Bacteria	Berkelbacteria
   1 unclassified Bacteria	Caldithrix
  12 unclassified Bacteria	Calescamantes
  11 unclassified Bacteria	Candidatus Saccharibacteria
  47 unclassified Bacteria	Cloacimonetes
   6 unclassified Bacteria	Fervidibacteria
   3 unclassified Bacteria	Gracilibacteria
   1 unclassified Bacteria	Haloplasmatales
   5 unclassified Bacteria	Hydrogenedentes
   6 unclassified Bacteria	Latescibacteria
 265 unclassified Bacteria	Microgenomates
   7 unclassified Bacteria	Omnitrophica
 456 unclassified Bacteria	Parcubacteria
  15 unclassified Bacteria	Peregrinibacteria
   6 unclassified Bacteria	Poribacteria
   1 unclassified Bacteria	Thermobaculum
   3 unclassified Bacteria	candidate division BRC1
   2 unclassified Bacteria	candidate division CPR1
   6 unclassified Bacteria	candidate division CPR2
   2 unclassified Bacteria	candidate division CPR3
   1 unclassified Bacteria	candidate division EM 3
   1 unclassified Bacteria	candidate division KD3-62
   1 unclassified Bacteria	candidate division NC10
   3 unclassified Bacteria	candidate division SR1
   5 unclassified Bacteria	candidate division TA06
  17 unclassified Bacteria	candidate division TM6
   1 unclassified Bacteria	candidate division WOR-1
   3 unclassified Bacteria	candidate division WOR-3
   1 unclassified Bacteria	candidate division WS1
  16 unclassified Bacteria	candidate division WS6
  42 unclassified Bacteria	candidate division WWE3
   7 unclassified Bacteria	candidate division Zixibacteria
  25 unclassified Bacteria	unclassified Bacteria (miscellaneous)
