Kingdom,Group,SubGroup,Size (Mb)
Bacteria,Tenericutes,Mollicutes,0.739592
Bacteria,Deinococcus-Thermus,Deinococci,3.23698
Bacteria,Tenericutes,Mollicutes,0.545427
Viruses,ssDNA viruses,Nanoviridae,0.006422
Viruses,dsDNA viruses, no RNA stage,unclassified,0.211518
Viruses,dsDNA viruses, no RNA stage,unclassified,0.034952
Viruses,Retro-transcribing viruses,Retroviridae,0.005894
Bacteria,Firmicutes,Bacilli,2.04344
Viruses,ssDNA viruses,Geminiviridae,0.005271
Viruses,ssDNA viruses,Geminiviridae,0.005399
Viruses,ssDNA viruses,Geminiviridae,0.005282
Viruses,ssDNA viruses,Geminiviridae,0.005217
Eukaryota,Protists,Other Protists,83.4325
Eukaryota,Protists,Other Protists,115.05
Eukaryota,Protists,Other Protists,55.5438
Eukaryota,Protists,Other Protists,84.7694
Eukaryota,Protists,Other Protists,75.3182
Eukaryota,Protists,Other Protists,66.0257
Eukaryota,Protists,Other Protists,99.4171
Eukaryota,Protists,Other Protists,106.836
Eukaryota,Protists,Other Protists,103.483
Eukaryota,Protists,Other Protists,115.614
Eukaryota,Protists,Other Protists,120.415
Viruses,dsDNA viruses, no RNA stage,Mimiviridae,1.18155
Eukaryota,Protists,Other Protists,83.589
Eukaryota,Protists,Other Protists,75.8213
Eukaryota,Protists,Other Protists,79.5441
Eukaryota,Animals,Other Animals,2.58492
Eukaryota,Animals,Birds,1035.88
Viruses,dsDNA viruses, no RNA stage,Phycodnaviridae,0.288047
Eukaryota,Animals,Other Animals,-
Bacteria,Actinobacteria,Actinobacteria,2.41952
Viruses,ssDNA viruses,Circoviridae,0.00167
Bacteria,Cyanobacteria,Oscillatoriophycideae,7.87548
Bacteria,Cyanobacteria,Oscillatoriophycideae,8.3616
Bacteria,Firmicutes,Clostridia,6.15674
Bacteria,Proteobacteria,Alphaproteobacteria,1.92619
Bacteria,Proteobacteria,Alphaproteobacteria,3.69077
