#Organism/Name,Kingdom,Group,SubGroup,Size (Mb),Chrs,Organelles,Plasmids,BioProjects
'Chrysanthemum coronarium' phytoplasma,Bacteria,Tenericutes,Mollicutes,0.739592,-,-,-,1
'Deinococcus soli' Cha et al. 2014,Bacteria,Deinococcus-Thermus,Deinococci,3.23698,1,-,-,1
'Echinacea purpurea' witches'-broom phytoplasma,Bacteria,Tenericutes,Mollicutes,0.545427,-,-,-,1
Abaca bunchy top virus,Viruses,ssDNA viruses,Nanoviridae,0.006422,6,-,-,1
Abalone herpesvirus Victoria/AUS/2009,Viruses,"dsDNA viruses, no RNA stage",unclassified,0.211518,1,-,-,1
Abalone shriveling syndrome-associated virus,Viruses,"dsDNA viruses, no RNA stage",unclassified,0.034952,1,-,-,1
Abelson murine leukemia virus,Viruses,Retro-transcribing viruses,Retroviridae,0.005894,1,-,-,1
Abiotrophia defectiva,Bacteria,Firmicutes,Bacilli,2.04344,-,-,-,1
Abutilon Brazil virus,Viruses,ssDNA viruses,Geminiviridae,0.005271,2,-,-,1
Abutilon mosaic Bolivia virus,Viruses,ssDNA viruses,Geminiviridae,0.005399,2,-,-,1
Abutilon mosaic Brazil virus,Viruses,ssDNA viruses,Geminiviridae,0.005282,2,-,-,1
Abutilon mosaic virus,Viruses,ssDNA viruses,Geminiviridae,0.005217,2,-,-,1
Acanthamoeba astronyxis,Eukaryota,Protists,Other Protists,83.4325,-,-,-,1
Acanthamoeba castellanii,Eukaryota,Protists,Other Protists,115.05,-,1,-,3
Acanthamoeba culbertsoni,Eukaryota,Protists,Other Protists,55.5438,-,-,-,1
Acanthamoeba divionensis,Eukaryota,Protists,Other Protists,84.7694,-,-,-,1
Acanthamoeba healyi,Eukaryota,Protists,Other Protists,75.3182,-,-,-,1
Acanthamoeba lenticulata,Eukaryota,Protists,Other Protists,66.0257,-,-,-,1
Acanthamoeba lugdunensis,Eukaryota,Protists,Other Protists,99.4171,-,-,-,1
Acanthamoeba mauritaniensis,Eukaryota,Protists,Other Protists,106.836,-,-,-,1
Acanthamoeba palestinensis,Eukaryota,Protists,Other Protists,103.483,-,-,-,1
Acanthamoeba pearcei,Eukaryota,Protists,Other Protists,115.614,-,-,-,1
Acanthamoeba polyphaga,Eukaryota,Protists,Other Protists,120.415,-,-,-,1
Acanthamoeba polyphaga mimivirus,Viruses,"dsDNA viruses, no RNA stage",Mimiviridae,1.18155,1,-,-,1
Acanthamoeba quina,Eukaryota,Protists,Other Protists,83.589,-,-,-,1
Acanthamoeba rhysodes,Eukaryota,Protists,Other Protists,75.8213,-,-,-,1
Acanthamoeba royreba,Eukaryota,Protists,Other Protists,79.5441,-,-,-,1
Acanthaster planci,Eukaryota,Animals,Other Animals,2.58492,-,1,-,1
Acanthisitta chloris,Eukaryota,Animals,Birds,1035.88,-,-,-,1
Acanthocystis turfacea Chlorella virus 1,Viruses,"dsDNA viruses, no RNA stage",Phycodnaviridae,0.288047,1,-,-,1
Acanthoscurria geniculata,Eukaryota,Animals,Other Animals,-,-,-,-,-
Acaricomes phytoseiuli,Bacteria,Actinobacteria,Actinobacteria,2.41952,-,-,-,1
Acartia tonsa copepod circovirus,Viruses,ssDNA viruses,Circoviridae,0.00167,1,-,-,1
Acaryochloris,Bacteria,Cyanobacteria,Oscillatoriophycideae,7.87548,-,-,-,1
Acaryochloris marina,Bacteria,Cyanobacteria,Oscillatoriophycideae,8.3616,1,-,9,1
Acetivibrio cellulolyticus,Bacteria,Firmicutes,Clostridia,6.15674,-,-,-,1
Acetobacter,Bacteria,Proteobacteria,Alphaproteobacteria,1.92619,-,-,-,2
Acetobacter aceti,Bacteria,Proteobacteria,Alphaproteobacteria,3.69077,-,-,2,4
Acetobacter cibinongensis,Bacteria,Proteobacteria,Alphaproteobacteria,3.10509,-,-,-,1
Acetobacter indonesiensis,Bacteria,Proteobacteria,Alphaproteobacteria,3.41677,-,-,-,1
Acetobacter malorum,Bacteria,Proteobacteria,Alphaproteobacteria,3.51343,-,-,-,1
Acetobacter nitrogenifigens,Bacteria,Proteobacteria,Alphaproteobacteria,4.27052,-,-,-,1
Acetobacter okinawensis,Bacteria,Proteobacteria,Alphaproteobacteria,3.16624,-,-,-,1
Acetobacter orientalis,Bacteria,Proteobacteria,Alphaproteobacteria,2.91069,-,-,-,1
Acetobacter orleanensis,Bacteria,Proteobacteria,Alphaproteobacteria,3.01364,-,-,-,1
Acetobacter papayae,Bacteria,Proteobacteria,Alphaproteobacteria,3.04108,-,-,-,1
Acetobacter pasteurianus,Bacteria,Proteobacteria,Alphaproteobacteria,3.34025,1,-,7,14
Acetobacter persici,Bacteria,Proteobacteria,Alphaproteobacteria,3.70195,-,-,-,1
Acetobacter pomorum,Bacteria,Proteobacteria,Alphaproteobacteria,2.88342,-,-,-,2
Acetobacter syzygii,Bacteria,Proteobacteria,Alphaproteobacteria,2.68737,-,-,-,1
Acetobacter tropicalis,Bacteria,Proteobacteria,Alphaproteobacteria,3.74669,-,-,-,3
Acetobacteraceae bacterium AT-5844,Bacteria,Proteobacteria,Alphaproteobacteria,5.19055,-,-,-,1
Acetobacterium bakii,Bacteria,Firmicutes,Clostridia,4.13563,-,-,-,1
Acetobacterium dehalogenans,Bacteria,Firmicutes,Clostridia,4.05007,-,-,-,1
Acetobacterium woodii,Bacteria,Firmicutes,Clostridia,4.04478,1,-,-,1
Acetohalobium arabaticum,Bacteria,Firmicutes,Clostridia,2.4696,1,-,-,1
Acetonema longum,Bacteria,Firmicutes,Negativicutes,4.32301,-,-,-,1
Acetothermia bacterium SCGC AAA255-C06,Bacteria,unclassified Bacteria,Acetothermia,0.669384,-,-,-,1
Acheta domestica densovirus,Viruses,ssDNA viruses,Parvoviridae,0.005234,1,-,-,1
Acheta domesticus mini ambidensovirus,Viruses,ssDNA viruses,Parvoviridae,0.004945,1,-,-,1
Acheta domesticus volvovirus,Viruses,ssDNA viruses,unclassified,0.002517,1,-,-,1
Achimota virus 1,Viruses,ssRNA viruses,Paramyxoviridae,0.015624,1,-,-,1
Achimota virus 2,Viruses,ssRNA viruses,Paramyxoviridae,0.015504,1,-,-,1
Achipteria coleoptrata,Eukaryota,Animals,Other Animals,88.4439,-,-,-,1
Acholeplasma,Bacteria,Tenericutes,Mollicutes,1.12306,-,-,-,1
Acholeplasma axanthum,Bacteria,Tenericutes,Mollicutes,1.80712,-,-,-,1
Acholeplasma brassicae,Bacteria,Tenericutes,Mollicutes,1.87779,1,-,-,1
Acholeplasma equifetale,Bacteria,Tenericutes,Mollicutes,1.28237,-,-,-,1
Acholeplasma granularum,Bacteria,Tenericutes,Mollicutes,1.45354,-,-,-,1
Acholeplasma hippikon,Bacteria,Tenericutes,Mollicutes,1.43045,-,-,-,1
Acholeplasma laidlawii,Bacteria,Tenericutes,Mollicutes,1.49699,1,-,-,1
Acholeplasma modicum,Bacteria,Tenericutes,Mollicutes,1.21918,-,-,-,1
Acholeplasma multilocale,Bacteria,Tenericutes,Mollicutes,0.924993,-,-,-,1
Acholeplasma oculi,Bacteria,Tenericutes,Mollicutes,1.58712,1,-,-,1
Acholeplasma palmae,Bacteria,Tenericutes,Mollicutes,1.55423,1,-,-,1
Acholeplasma phage L2,Viruses,"dsDNA viruses, no RNA stage",Plasmaviridae,0.011965,1,-,-,1
Acholeplasma phage MV-L1,Viruses,ssDNA viruses,Inoviridae,0.004491,1,-,-,1
Achromatium,Bacteria,Proteobacteria,Gammaproteobacteria,3.8456,-,-,-,3
Achromobacter,Bacteria,Proteobacteria,Betaproteobacteria,7.26571,-,-,-,37
Achromobacter arsenitoxydans,Bacteria,Proteobacteria,Betaproteobacteria,6.15666,-,-,-,1
Achromobacter insuavis,Bacteria,Proteobacteria,Betaproteobacteria,6.86081,-,-,-,1
Achromobacter phage JWAlpha,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.072329,1,-,-,1
Achromobacter piechaudii,Bacteria,Proteobacteria,Betaproteobacteria,6.8922,-,-,-,3
Achromobacter spanius,Bacteria,Proteobacteria,Betaproteobacteria,6.46849,-,-,-,1
Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,7.35915,1,-,2,19
Aciculosporium take,Eukaryota,Fungi,Ascomycetes,58.8364,-,-,-,1
Acidaminococcus,Bacteria,Firmicutes,Negativicutes,2.28786,-,-,-,5
Acidaminococcus fermentans,Bacteria,Firmicutes,Negativicutes,2.32977,1,-,-,1
Acidaminococcus intestini,Bacteria,Firmicutes,Negativicutes,2.48777,1,-,-,2
Acidaminococcus intestini CAG:325,Bacteria,Firmicutes,Negativicutes,2.16158,-,-,-,1
Acidianus bottle-shaped virus,Viruses,"dsDNA viruses, no RNA stage",Ampullaviridae,0.023814,1,-,-,1
Acidianus filamentous virus 1,Viruses,"dsDNA viruses, no RNA stage",Lipothrixviridae,0.020869,1,-,-,1
Acidianus filamentous virus 2,Viruses,"dsDNA viruses, no RNA stage",Lipothrixviridae,0.031787,1,-,-,1
Acidianus filamentous virus 3,Viruses,"dsDNA viruses, no RNA stage",Lipothrixviridae,0.040449,1,-,-,1
Acidianus filamentous virus 6,Viruses,"dsDNA viruses, no RNA stage",Lipothrixviridae,0.039577,1,-,-,1
Acidianus filamentous virus 7,Viruses,"dsDNA viruses, no RNA stage",Lipothrixviridae,0.036895,1,-,-,1
Acidianus filamentous virus 8,Viruses,"dsDNA viruses, no RNA stage",Lipothrixviridae,0.038179,1,-,-,1
Acidianus filamentous virus 9,Viruses,"dsDNA viruses, no RNA stage",Lipothrixviridae,0.041172,1,-,-,1
Acidianus hospitalis,Archaea,Crenarchaeota,Thermoprotei,2.13765,1,-,1,1
Acidianus rod-shaped virus 1,Viruses,"dsDNA viruses, no RNA stage",Rudiviridae,0.024655,1,-,-,1
Acidianus spindle-shaped virus 1,Viruses,"dsDNA viruses, no RNA stage",Fuselloviridae,0.024186,1,-,-,1
Acidianus two-tailed virus,Viruses,"dsDNA viruses, no RNA stage",Bicaudaviridae,0.06273,1,-,-,1
Acidicaldus organivorans,Bacteria,Proteobacteria,Alphaproteobacteria,2.98963,-,-,-,1
Acidilobus,Archaea,Crenarchaeota,Thermoprotei,1.54851,-,-,-,4
Acidilobus saccharovorans,Archaea,Crenarchaeota,Thermoprotei,1.49645,1,-,-,1
Acidimicrobium ferrooxidans,Bacteria,Actinobacteria,Acidimicrobiia,2.15816,1,-,-,1
Acidiphilium,Bacteria,Proteobacteria,Alphaproteobacteria,4.18836,-,-,-,3
Acidiphilium angustum,Bacteria,Proteobacteria,Alphaproteobacteria,4.17541,-,-,-,1
Acidiphilium cryptum,Bacteria,Proteobacteria,Alphaproteobacteria,3.96308,1,-,8,1
Acidiphilium multivorum,Bacteria,Proteobacteria,Alphaproteobacteria,4.21474,1,-,8,2
Acidiplasma,Archaea,Euryarchaeota,Thermoplasmata,1.74736,-,-,-,1
Acidiplasma cupricumulans,Archaea,Euryarchaeota,Thermoplasmata,1.74753,-,-,-,1
Acidisphaera rubrifaciens,Bacteria,Proteobacteria,Alphaproteobacteria,3.86227,-,-,-,1
Aciditerrimonas ferrireducens,Bacteria,Actinobacteria,Acidimicrobiia,1.17694,-,-,-,1
Acidithiobacillales bacterium SG8_45,Bacteria,Proteobacteria,Gammaproteobacteria,2.28308,-,-,-,1
Acidithiobacillales bacterium SM1_46,Bacteria,Proteobacteria,Gammaproteobacteria,2.61636,-,-,-,1
Acidithiobacillales bacterium SM23_46,Bacteria,Proteobacteria,Gammaproteobacteria,2.82603,-,-,-,1
Acidithiobacillus,Bacteria,Proteobacteria,Gammaproteobacteria,3.17493,-,-,-,1
Acidithiobacillus caldus,Bacteria,Proteobacteria,Gammaproteobacteria,3.2376,1,-,4,2
Acidithiobacillus ferrivorans,Bacteria,Proteobacteria,Gammaproteobacteria,3.43367,1,-,-,2
Acidithiobacillus ferrooxidans,Bacteria,Proteobacteria,Gammaproteobacteria,4.18422,1,-,2,3
Acidithiobacillus thiooxidans,Bacteria,Proteobacteria,Gammaproteobacteria,3.9379,-,-,-,3
Acidithrix ferrooxidans,Bacteria,Actinobacteria,Acidimicrobiia,4.01987,-,-,-,1
Acidobacteria bacterium JGI 0001001-H03,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,0.789133,-,-,-,1
Acidobacteria bacterium KBS 146,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,5.00104,-,-,-,1
Acidobacteriaceae bacterium KBS 83,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.25081,-,-,-,1
Acidobacteriaceae bacterium KBS 89,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.00993,-,-,-,1
Acidobacteriaceae bacterium KBS 96,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.69216,-,-,-,1
Acidobacteriaceae bacterium S15,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.45912,-,-,-,1
Acidobacteriaceae bacterium TAA166,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.13693,-,-,-,1
Acidobacteriaceae bacterium URHE0068,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.67919,-,-,-,1
Acidobacterium,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,3.68652,-,-,-,1
Acidobacterium capsulatum,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,4.12736,1,-,-,1
Acidocella,Bacteria,Proteobacteria,Alphaproteobacteria,3.62486,-,-,-,1
Acidocella aminolytica,Bacteria,Proteobacteria,Alphaproteobacteria,3.98473,-,-,-,1
Acidocella facilis,Bacteria,Proteobacteria,Alphaproteobacteria,3.40393,-,-,-,1
Acidomonas methanolica,Bacteria,Proteobacteria,Alphaproteobacteria,3.69003,-,-,-,1
Acidothermus cellulolyticus,Bacteria,Actinobacteria,Actinobacteria,2.44354,1,-,-,1
Acidovorax,Bacteria,Proteobacteria,Betaproteobacteria,7.08623,1,-,2,7
Acidovorax avenae,Bacteria,Proteobacteria,Betaproteobacteria,5.63425,1,-,1,3
Acidovorax caeni,Bacteria,Proteobacteria,Betaproteobacteria,4.19093,-,-,-,1
Acidovorax citrulli,Bacteria,Proteobacteria,Betaproteobacteria,5.35277,1,-,-,4
Acidovorax delafieldii,Bacteria,Proteobacteria,Betaproteobacteria,4.84209,-,-,-,1
Acidovorax ebreus,Bacteria,Proteobacteria,Betaproteobacteria,3.79657,1,-,-,1
Acidovorax oryzae,Bacteria,Proteobacteria,Betaproteobacteria,5.52678,-,-,-,1
Acidovorax radicis,Bacteria,Proteobacteria,Betaproteobacteria,5.53023,-,-,-,2
Acidovorax temperans,Bacteria,Proteobacteria,Betaproteobacteria,4.47578,-,-,-,1
